song_id,line
1,"А ты улетишь туда, где будет теплей"
1,"Оставишь белые ночи, меня и апрель"
1,Поменяю города и не забуду твою улыбку
1,"Я помню каменный остров, там сияю как фосфор"
1,"Бегу от друзей, играю в прятки"
1,Со сломанным носом взлетаю в космос
1,Мы сейчас забиты делом с головой
1,Ты помнишь меня — я был не такой
1,Что послужит нам чертой между небом и землёй
1,"Там будешь ты, и ты пойдёшь со мной"
1,Свет в конце тоннеля станет путевой звездой
1,"Появлюсь в ней, не с ней"
1,"Я знаю: ты улетишь, и я оставлю себе"
1,Эти белые ночи на чёрный день
1,Со сломанным носом взлетаем в космос
1,"Был влюблённым подростком, таким и остался"
1,"Ведь ты улетишь туда, где будет теплей"
1,"Знаю: ты улетишь, и я оставлю себе"
2,Но в жизни всё было иначе
2,"Я — эхо, ты — эхо"
3,Но в твоих словах мне виделась грань
3,И я не верил ни в чьи слова
3,Кроме твоих — они казались мне истиной
3,Но ты не была со мной искренней
3,Пока ты сыпешь мне в глаза пыль
3,Ведь в это мгновение не было мы
3,И на небе не было луны
3,Недоразумение — это я и ты
4,что я думаю и говорю о тебе хорошее только и что у нас были хорошие отношения 
4,"А по факту тут, понимаешь, ты двуличный человек"
4,"Я просто не понимаю, почему ты ко мне так хуёво относишься"
4,"Знаешь, я не жалею о том, что я тебе написала"
4,"потому что, ну, там, типа, были какие-то приятные моменты"
4,"о которых можно было просто посмотреть, почитать, улыбнуться "
4,"Мне жаль, но полюбил тебя за глаза"
4,"Был пьян, походу, обещание не сдержал"
4,"Знаешь же, что хобби — говорить, как я люблю тебя и лгать"
4,"Может, моей целью было просто затащить тебя в кровать"
4,Поначалу для неё я — просто кореш
4,Но дальше все твои истории были просто вода
4,"Но я тебя слушал так, будто бы это ранний Дафт Панк"
4,"Знаю, это влечение и простой бумеранг"
4,Но по стечению обстоятельств оба два в облаках
4,"Нет, нет, не пофиг, возможно, сложится"
4,Но как-то в моей голове эти суммы не множатся
5,"Я хочу, чтобы ты утонула в звуке, как и я, как всегда"
5,Чтобы ты не думала о бедах и растворилась пелена на глазах
5,"И заставлю тебя пялиться на то, что так люблю"
5,Из колонок на всю громкость будет плакать блюз
5,И только по одной причине я остановлюсь
5,И оседает белым пеплом на руках
5,Но что когда-то било в спину
5,Вою в уши — этим выражаю страсть
5,"Ты живёшь, когда дышишь, я — пока слышу"
6,"На этот раз это, походу, не сон"
6,Мне не сбежать от фрустрации суток
6,Пока я с ума не сошёл
6,Пока я с ума не сошёл 
6,"Он летел под потолком, пролетая эти комнаты"
6,"Под таким углом ему казалось, что всё понято"
6,"Он управлял погодой так, что трескались барометры"
6,И теперь не кажется Вселенная бесформенной
6,И его сердце никогда уже не станет каменным
6,А по утру мечты сгорели заживо 
8,"Люди, будто звери, будут мне кричать толпой"
8,"Бьюсь за тебя, пока не треснет"
8,"Пульс, я как одно большое сердце"
8,"Бьюсь, когда я вижу тебя, вижу тебя"
8,И мы свалим на край света
9,И для тебя всё это фэнтези
9,"Ты одна из тех, кто видит розовые краски"
9,А я уже давно не верю в грёбаные сказки
9,"У нас уровни разнятся, будто бы бриллианты, стразы"
9,"Она напомнит то, что надо бы помнить"
9,И тогда во мне просыпается светлая сторона
9,"Вспомнить, сколько раз с тобой спорил"
9,Ты опять оставляешь меня без сна
9,Как бы себя ни убеждал — не становилось проще никогда
9,"Несколько раз — и вовсе пропадал, но в воздухе"
9,"Ведь меня поднимет моя толпа, даже будучи в космосе"
9,"Не забуду, как ты умело окутывала слова"
9,"Лавиной накрывала, но я лишь ловил экстаз"
9,"Остался утопающим, кого никто не спас"
10,На лице улыбка останется на века
10,За какие ошибки попадаем в ад
10,Нептун не имел на нас другой план
10,"За какие ошибки, от какого греха"
10,Будем чёрным пятном на стене дома
10,"Родная моя, обещаю, нам будет не больно"
10,Когда город сложится в хаотичные коридоры
10,"Ты не выдохнешь, но мы наконец-то станем спокойны"
10,"Нас не не принял остров, нас не переносит космос"
10,"Лопнет земной шар, хоть конспирологам всё плоско"
10,Вот и путешествие на волнах радиации
10,"И ты увидишь, почему я рад"
10,"Мы узнаем, что за летними воротами Асгард"
10,"Но надеюсь, встретимся в новой цивилизации"
10,"А может быть, даже и не река выходит из берегов"
10,Или «Что с нами не так
10,"Хм-м-м, как бы вам сказать "
10,"Вечно неймётся, я запитанный от взрыва"
10,Я запихан в это тело в наказание за проступки
10,О которых я понятия не имею и не буду
10,"Не ебу, иначе чем мне объяснить настолько сильный зуд"
10,"Ни советы, ни книги, ни суть "
10,"Нас не спасут, нас не спасут "
10,"Я давно в себе это несу, нет"
10,"Нас не спасут, а, нас не спасут "
10,"Ни молитвы, ни казнь и ни суд "
11,Ветром сдует — и я исчез
11,В слезах вспоминаю лишь тебя одну
11,"Дни, недели снова ставятся на луп"
11,"Если бы узнал, что овладел тобой"
11,"Ведь когда тебя слышу, ты лечишь боль"
11,Ведь для многих давно тронут головой
12,"Жаль, ты не понимаешь без слов, что это такое "
12,Если бы я в детстве малой встретил себя нынешним
12,Я бы охерел и был немного поуверенней в себе
12,"Не было бы странно, что вот-вот буду на финишной"
12,И отдал бы я большего семье 
12,"Все мои загоны оттого, что я не вижу"
12,И когда вокал ещё писался в шифоньер
12,"Не понимал, зачем я только что потел"
12,"О, музыка, ты город, я твоя окраина"
12,"Ты как Зельда, а я твоя окарина"
12,"Мы дружили аккуратно с тобой, музыка"
12,Но будто бы в порыве страсти я тебя раздел
12,"Я бы трахнул тебя, музыка, но ты неосязаема"
12,"В холод бы укрыл тебя, согрел"
13,И каждый зал в конце концерта оказывался пустым
13,"И, в квартиру заходя, понимал, что совсем один"
13,Но хоть бы зал и толпы способны сжечь мою боль в груди
13,И каждый зал после концерта оказывался пустым
13,"И, заходя домой, я снова оказывался один"
13,Но глаза толпы всегда заряжали огонь в груди
13,Но как будто меня опрокинул окситоцин
13,"И, доходя домой, я снова оказывался один"
13,"Из последних сил я падаю, но попадаю в ритм"
13,Мы бежим кругами от своих проблем
13,Пока пол под ногами не провалится
13,"Я из поколения, где джангл и рейв"
14,Если жизнь и так несёт вперёд
14,Всё равно всё и так уйдёт
14,И если жизнь и так несёт вперёд
14,Ведь всё равно всё и так уйдёт
15,Просто так ни с того ни с сего
15,Кто-то дышит мне в спину и холодом
15,И в ней закричат твои горькие опыты
15,А в голове загудит одна фраза
15,"А зло течёт по проводам, по проводам"
15,"На всех меня — одна беда, одна беда"
15,И я её не покажу и не отдам
15,"И чьи-то в хлам колени, может, по моей вине"
15,"Но как бы ни скрывал свои проблемы, о них мне"
15,"Расскажет мой любимый семпл, ведь я просто"
16,Что мы просто все забили на чувства
16,"Отмалчиваться, зная, где и с кем ты"
16,"То, что любили мы — теперь не по вкусу"
16,"Во что мне верить, если больше не верю"
16,Теперь не жди меня убитого с тусы
16,Отныне холодно не в нашей постели
16,А в этих окнах всегда будет пусто
16,Открыл с ноги прежде закрытые двери
16,"Ни себя, ни тебя, ни о чём не жалею"
17,"Вещи у друзей, я хожу в одном и том же"
17,Я живу в отеле — дом уничтожен
17,Залить всё это кофе или алкоголем
17,"Толком не заметил, что чрезвычайно болен"
17,Но с новым днем меня снова волна накроет
17,Ты задела меня за живое 
17,Но было поздно и ты оставила ножевое 
17,Я лезу из кожи вон и вою 
17,Лезу из кожи вон и вою 
17,"Я не знаю как, но ты оставила ножевое "
17,Какая разница где я и сколько можно
17,"Парни, я на рейве и кажется надолго"
17,"Честно, я даже не знаю, что это за место"
17,Я как в стоге сена долбанная иголка
17,Кто-то будто сделал музыку в ушах погромче
17,Даже будучи в стрессе — не ощущаю стресса
17,В данную секунду мне исключительно всё равно
17,И с новым днём меня снова волна накроет
18,"Не сижу на месте, будто болен-болен ОСД"
18,"Мои-мои-мои псы на поводке, ты на цепи, я"
18,"Называй спокойно шутером, Вова не спит"
18,Зарабатывал на лут — через день сияю
18,"Силы на исходе, а судьбу не выбирают"
18,"Смотри, я в метро, смотри, я на Убер Блэк"
18,Смотри на мою цепь — это самый чистый снег
18,Пей до конца за мой успех
18,Глупые девчонки умрут в двадцать пять лет в Рабице
18,"Глупые мальчишки будут париться, всем плакаться"
18,Мне нужна работа чтоб отвлечься и расслабиться
18,"Воркаю, пашу, и мне это безумно нравится "
18,Намекну про ник и я уже в неё проникну
18,"Мы снимаем фильм, но она тут же просит сиквел "
18,"Всё и сразу, ей нужна полная картина "
18,Я не играл — но я выиграл
19,Трясу этот воздух — вибрирует комната
19,На грани мотор — вывожу опытом
19,"Бля, не еби мозги, сука уволена"
19,Выгнал из хаты — осталась довольна
19,"Конечно, я ж рэпер, так сделают многие"
19,Её любовь ко мне так велика
19,И настойчиво пыл переходит в блуд
19,Она боялась приехать одна — не проблема
19,"Мне не было похуй, как делать"
19,"Пусть говорят, что труд — это не тру"
19,Мне не перепробовать всех этих блюд
19,"Крутятся с лицами, показывая свои амбиции "
19,"Аккуратнее, когда смотришь на меня так"
19,Не лезьте в мой космос 
19,"И с меня не слезть, ведь я и поэт и художник"
19,"Они думают, для меня глубока река "
19,"Я такой счастливый, моя доля велика"
19,"Залечу, куда угодно — я на звуковых волнах"
19,"Абсолютно поебать, я иду по головам"
19,"Аккуратней, когда смотришь на меня так"
20,"Я так рад, что я с тобой"
20,Вытяни из омута и говори мне в уши
20,Прыгнул в эту серость я с разбегу с головой
20,"Я всё расскажу, прошу, пожалуйста, послушай"
20,"Охренеть, я заехал на месяц в гости"
20,"С друзьям беззаботными, как они — безработный"
20,"Но все лица смешались, образы как один"
20,И город не повысил мне серотонин
20,Все молча смотрят мне в душу и слушают
20,"А потом навешают с три короба, да на уши"
20,"Весь год, то на Рубле, Красногорске, ВДНХ"
20,Полгода где-то оставил внутри салонов такси
20,"Вези меня, старик, по дорогам моей Руси"
20,"Зарыться в стопе бумаг, закопаться в этих счетах"
20,"Здесь это не будни, тут это — суета"
20,В окружении баб разучился считать бабло
20,"Хватит спрашивать, как у меня дела"
20,"Расскажи сама, как не сойти с ума"
20,"Делать вид, что я кого-то слушаю"
20,"Я бы даже сказал, что душная"
20,К счастью от улыбок друзей больше не становится
20,"Спасибо Белокаменной, теперь мы в андеркавере"
20,"Всё правильно, спроси, что мною правило"
21,"Слишком много делал вид, что пофиг"
21,"Делал бабки, клеил сук, смотрел ей в ноги"
21,"Не соври, я знаю: ты считала дни"
21,"Лето и зимы, как же мне отвратно в этой рутине"
21,"Столько лет, больше на меня нет"
21,"Нам не хватит резины, впрочем, к чёрту"
21,"Посылаю резину, двое в душе заливает бензином"
21,"И в тишине витают те слова, которых нету"
21,"И главная примета, не доверять приметам"
22,И кем бы ты не был
23,А я лечу за ним вслед
23,Пока мой последний куплет не допет
24,"Я поздно проснулся, хоть я и не спал"
24,"Я делаю паузы, стоп и рестарт"
24,Так что я не буду за окном
25,"Тот, кем я был, никогда не вернётся"
25,"Раньше было слышно, как зубы у всех скрипят"
25,"Разве видно, что я помят? А, сейчас"
25,"Пылаю огнём, но не от стыда"
25,"Я не был рождён, чтобы летать"
25,"Мне не больно, мне не больно, мам"
25,"И ты не бойся, ты не бойся ран"
25,"Я точно пока не понял, насколько я дорожу"
25,"Собой или, может, кем-то и зря это ворошу"
25,"Если быть откровенным, я снова сор выношу"
25,Раззадорю свой огонь и опять его потушу
25,"Ты не бойся, ты не бойся ран"
26,Я не подойду в заброшенный ангар
26,"Ты имей в виду, это не мой репертуар"
26,Один в этом аду сдыхаю от стыда
26,"Люди вокруг в бреду, господи, вот угар"
26,"Я прячусь за очками в капюшоне там, где бар"
26,И что-то в голове придумал на ходу
26,"И чувствую, что палят все и сразу, кто вокруг"
26,"Я как сюда попал, куда смотрел и что заставило"
26,"Снова просыпаться, не застав конца утра"
26,"Обвиню тебя во всём, в чём виноват сам"
26,"Сломлю твои мечты, ведь доверяю своим снам"
26,Складывать с другими я их непременно кинусь
26,Выдавая каждую мысль за свою дивность
26,Я воспитал в тебе недетскую наивность
27,"Я стою в стране, где лес окутал синий бетон"
27,"Тут даже море волнуется, раз увидев ментов"
27,"Солнце светит бесконечно, но на пыль и песок"
27,"А я сержусь на то, что не с кем обсудить это всё"
27,"Выхожу лишь когда темно, не свечу лицом"
27,"Мне казалось, что свобода стала моим потолком"
27,Я отдал себя всего напоперёк и целиком
27,"И курс неизменён, а сон не вообразим"
27,До сих пор один и за мной тянется дым
27,"Мимо манекенов и машин бежим, бежим"
27,Всё заживёт не за просто так
27,"Если захочешь, мы можем быть вечно молоды"
28,"Что-то шумит, но должно быть тихо"
